Date,IVV,EEM,XLU,VOO,VTI,XLRE,XLK,XLI,XLY,AOR,XLV,XLP,FBND,XLB,VT,XLF,SPY,XLE,TDVG,AOA
2008-07-16,90.64801788330078,30.39483642578125,21.387948989868164,,45.458377838134766,,17.608253479003906,23.829784393310547,22.214223861694336,,23.382015228271484,17.18585205078125,,27.306055068969727,33.17571258544922,11.422182083129883,90.1623306274414,44.9006233215332,,
2008-07-17,91.7608642578125,30.536998748779297,21.04888916015625,,45.9341926574707,,17.789691925048828,24.48756217956543,22.318403244018555,,23.612852096557617,17.217395782470703,,27.478368759155273,33.59978485107422,11.916243553161621,91.06422424316406,44.16435623168945,,
2008-07-18,91.6881103515625,30.273635864257812,21.070751190185547,,46.190391540527344,,17.986919403076172,24.523298263549805,23.007593154907227,,23.605411529541016,16.92717742919922,,27.292287826538086,33.56502914428711,12.157389640808105,91.6315689086914,44.935665130615234,,
2008-07-21,91.80448150634766,30.64889144897461,21.4426326751709,,46.31482696533203,,17.63191795349121,24.544755935668945,22.598894119262695,,23.18840789794922,16.889326095581055,,27.857431411743164,33.66930389404297,12.204444885253906,91.68248748779297,46.2796630859375,,
2008-07-22,92.99003601074219,30.66752815246582,21.37153434753418,,46.92973327636719,,17.537256240844727,24.84503936767578,23.199928283691406,,23.508602142333984,17.18585205078125,,27.89878273010254,33.85702133178711,13.227848052978516,92.72260284423828,44.74284744262695,,
2008-07-23,93.41188049316406,30.711814880371094,20.85202407836914,,47.156654357910156,,17.85280418395996,25.038074493408203,23.648691177368164,,23.612852096557617,17.305721282958984,,27.547290802001953,34.12119674682617,13.210204124450684,93.2244644165039,43.118377685546875,,
2008-07-24,91.3899154663086,29.57676124572754,20.819194793701172,,46.05130386352539,,17.395252227783203,24.41606330871582,23.14383316040039,,23.59050750732422,17.198463439941406,,26.851192474365234,33.370357513427734,12.322077751159668,91.28972625732422,43.013187408447266,,
2008-07-25,91.56449127197266,29.779537200927734,20.56764793395996,,46.190391540527344,,17.63981056213379,24.644847869873047,22.783205032348633,,23.731996536254883,17.10383415222168,,26.89255142211914,33.516361236572266,12.275019645690918,91.26787567138672,43.13009262084961,,
2008-07-28,90.08797454833984,29.27609634399414,20.616865158081055,,45.56816864013672,,17.26902198791504,24.08002471923828,22.24628257751465,,23.53839111328125,16.958728790283203,,26.858091354370117,32.981048583984375,11.69862174987793,89.9295883178711,43.29953384399414,,
2008-07-29,91.97904205322266,30.898263931274414,20.64419937133789,,46.53445053100586,,17.616140365600586,24.988035202026367,23.03964614868164,,23.77667808532715,17.356199264526367,,27.388771057128906,33.300846099853516,12.6455659866333,91.84976196289062,42.785308837890625,,
