Date,DGRW,DON,DES,DEM,DTH,DHS
2018-12-31 00:00:00-05:00,0.183,0.107,0.116,0.227,0.316,0.298
2019-01-31 00:00:00-05:00,0.055,0.01,0.02,0.0,0.0,0.12
2019-02-28 00:00:00-05:00,0.08,0.035,0.005,0.0,0.0,0.135
2019-03-31 00:00:00-04:00,0.085,0.065,0.005,0.105,0.33,0.25
2019-04-30 00:00:00-04:00,0.08,0.06,0.075,0.0,0.0,0.23
2019-05-31 00:00:00-04:00,0.125,0.085,0.06,0.0,0.0,0.27
2019-06-30 00:00:00-04:00,0.08,0.115,0.095,0.53,0.76,0.21
2019-07-31 00:00:00-04:00,0.06,0.05,0.075,0.0,0.0,0.195
2019-08-31 00:00:00-04:00,0.14,0.095,0.06,0.0,0.0,0.28
2019-09-30 00:00:00-04:00,0.06,0.095,0.11,1.15,0.355,0.205
2019-10-31 00:00:00-04:00,0.07,0.05,0.05,0.0,0.0,0.19
2019-11-30 00:00:00-05:00,0.11,0.09,0.055,0.0,0.0,0.265
2019-12-31 00:00:00-05:00,0.12,0.154,0.16,0.405,0.351,0.482
2020-01-31 00:00:00-05:00,0.04,0.01,0.025,0.0,0.0,0.12
2020-02-29 00:00:00-05:00,0.085,0.09,0.06,0.0,0.0,0.3
2020-03-31 00:00:00-04:00,0.1,0.125,0.0,0.033,0.2,0.0
2020-04-30 00:00:00-04:00,0.09,0.06,0.025,0.0,0.0,0.145
2020-05-31 00:00:00-04:00,0.07,0.08,0.1,0.0,0.0,0.295
2020-06-30 00:00:00-04:00,0.12,0.08,0.06,0.465,0.42,0.21
2020-07-31 00:00:00-04:00,0.041,0.05,0.055,0.0,0.0,0.25
2020-08-31 00:00:00-04:00,0.07,0.07,0.075,0.0,0.0,0.205
2020-09-30 00:00:00-04:00,0.07,0.055,0.045,0.94,0.44,0.115
2020-10-31 00:00:00-04:00,0.105,0.07,0.06,0.0,0.0,0.34
2020-11-30 00:00:00-05:00,0.065,0.055,0.065,0.0,0.0,0.185
2020-12-31 00:00:00-05:00,0.173,0.22,0.161,0.293,0.346,0.706
2021-01-31 00:00:00-05:00,0.045,0.01,0.01,0.0,0.0,0.085
2021-02-28 00:00:00-05:00,0.065,0.015,0.01,0.0,0.0,0.045
2021-03-31 00:00:00-04:00,0.125,0.065,0.001,0.175,0.308,0.392
2021-04-30 00:00:00-04:00,0.09,0.035,0.02,0.0,0.0,0.175
2021-05-31 00:00:00-04:00,0.06,0.065,0.045,0.0,0.0,0.16
2021-06-30 00:00:00-04:00,0.155,0.15,0.11,0.64,0.655,0.275
2021-07-31 00:00:00-04:00,0.065,0.045,0.05,0.0,0.0,0.285
2021-08-31 00:00:00-04:00,0.075,0.1,0.08,0.0,0.0,0.185
2021-09-30 00:00:00-04:00,0.15,0.115,0.09,0.99,0.555,0.26
2021-10-31 00:00:00-04:00,0.065,0.07,0.05,0.0,0.0,0.295
2021-11-30 00:00:00-05:00,0.075,0.08,0.095,0.0,0.0,0.19
2021-12-31 00:00:00-05:00,0.203,0.188,0.199,0.74,0.31,0.365
2022-01-31 00:00:00-05:00,0.015,0.01,0.01,0.0,0.0,0.1
2022-02-28 00:00:00-05:00,0.075,0.015,0.01,0.0,0.0,0.045
2022-03-31 00:00:00-04:00,0.145,0.095,0.08,0.37,0.365,0.13
2022-04-30 00:00:00-04:00,0.095,0.065,0.035,0.0,0.0,0.255
2022-05-31 00:00:00-04:00,0.07,0.085,0.06,0.0,0.0,0.275
2022-06-30 00:00:00-04:00,0.19,0.15,0.11,0.76,0.99,0.395
2022-07-31 00:00:00-04:00,0.065,0.06,0.08,0.0,0.0,0.235
2022-08-31 00:00:00-04:00,0.1,0.12,0.065,0.0,0.0,0.295
2022-09-30 00:00:00-04:00,0.185,0.12,0.095,1.51,0.41,0.34
2022-10-31 00:00:00-04:00,0.055,0.05,0.05,0.0,0.0,0.195
2022-11-30 00:00:00-05:00,0.075,0.15,0.035,0.0,0.0,0.21
2022-12-31 00:00:00-05:00,0.23,0.196,0.191,0.431,0.28,0.465
2023-01-31 00:00:00-05:00,0.005,0.005,0.005,0.0,0.0,0.11
2023-02-28 00:00:00-05:00,0.06,0.01,0.015,0.0,0.0,0.195
2023-03-31 00:00:00-04:00,0.19,0.2,0.13,0.1,0.435,0.54
2023-04-30 00:00:00-04:00,0.04,0.045,0.03,0.0,0.0,0.135
2023-05-31 00:00:00-04:00,0.125,0.115,0.095,0.0,0.0,0.385
2023-06-30 00:00:00-04:00,0.12,0.12,0.095,0.72,0.965,0.31
2023-07-31 00:00:00-04:00,0.08,0.05,0.05,0.0,0.0,0.205
2023-08-31 00:00:00-04:00,0.085,0.115,0.07,0.0,0.0,0.315
2023-09-30 00:00:00-04:00,0.155,0.0,0.105,1.1,0.395,0.315
2023-10-31 00:00:00-04:00,0.05,0.035,0.03,0.0,0.0,0.21
2023-11-30 00:00:00-05:00,0.1,0.11,0.06,0.0,0.0,0.29
2023-12-31 00:00:00-05:00,0.215,0.18,0.16699999999999998,0.315,0.395,0.531
2024-01-31 00:00:00-05:00,0.005,0.02,0.015,0.0,0.0,0.09
2024-02-29 00:00:00-05:00,0.08,0.06,0.055,0.0,0.0,0.205
2024-03-31 00:00:00-04:00,0.17,0.17,0.065,0.225,0.27,0.285
2024-04-30 00:00:00-04:00,0.065,0.055,0.08,0.0,0.0,0.3
2024-05-31 00:00:00-04:00,0.07,0.055,0.08,0.0,0.0,0.305
2024-06-30 00:00:00-04:00,0.18,0.18,0.125,0.635,1.015,0.375
2024-07-31 00:00:00-04:00,0.06,0.055,0.045,0.0,0.0,0.185
2024-08-31 00:00:00-04:00,0.105,0.1,0.105,0.0,0.0,0.345
2024-09-30 00:00:00-04:00,0.145,0.135,0.105,1.06,0.355,0.33
2024-10-31 00:00:00-04:00,0.075,0.065,0.105,0.0,0.0,0.21
2024-11-30 00:00:00-05:00,0.1,0.11,0.105,0.0,0.0,0.36
2024-12-31 00:00:00-05:00,0.196,0.151,0.081,0.2,0.402,0.425
2025-01-31 00:00:00-05:00,0.003,0.04,0.015,0.0,0.0,0.12
2025-02-28 00:00:00-05:00,0.11,0.035,0.01,0.0,0.0,0.165
2025-03-31 00:00:00-04:00,0.155,0.185,0.115,0.42,0.215,0.305
2025-04-30 00:00:00-04:00,0.09,0.09,0.085,0.0,0.0,0.305
2025-05-31 00:00:00-04:00,0.065,0.065,0.025,0.0,0.0,0.195
2025-06-30 00:00:00-04:00,0.175,0.175,0.145,0.575,0.95,0.445
2025-07-31 00:00:00-04:00,0.05,0.05,0.045,0.0,0.0,0.205
2025-08-31 00:00:00-04:00,0.085,0.1,0.075,0.0,0.0,0.215
