Date,SPY,EFA,AGG,VNQ,GSG,FXE,EEM,GLD,TIP,LQD,USO,UNG,HYG,IWM,QQQ
2003-08-08,65.23125457763672,19.770404815673828,,,,,9.175331115722656,,,108.1500015258789,,,,33.77896499633789,25.460071563720703
2003-08-11,65.47688293457031,19.960851669311523,,,,,9.215304374694824,,,107.7300033569336,,,,34.24552917480469,25.739490509033203
2003-08-12,66.07421875,20.045297622680664,,,,,9.251640319824219,,,107.61000061035156,,,,34.82033157348633,26.12896156311035
2003-08-13,65.73575592041016,20.05966567993164,,,,,9.382458686828613,,,106.4000015258789,,,,34.936031341552734,26.137428283691406
2003-08-14,65.91492462158203,20.345333099365234,,,,,9.50600528717041,,,106.54000091552734,,,,35.16372299194336,26.162822723388672
2003-08-15,66.12067413330078,20.29862403869629,,,,,9.41152572631836,,,106.75,,,,35.17491912841797,26.391435623168945
2003-08-18,66.69148254394531,20.580698013305664,,,,,9.612113952636719,,,107.0999984741211,,,,35.872901916503906,27.068788528442383
2003-08-19,66.94368743896484,20.53578758239746,,,,,9.659350395202637,,,108.05000305175781,,,,36.54474639892578,27.407466888427734
2003-08-20,66.6716079711914,20.498050689697266,,,,,9.660811424255371,,,107.72000122070312,,,,36.52608871459961,27.339733123779297
2003-08-21,66.88397979736328,20.53578758239746,,,,,9.838136672973633,,,107.19999694824219,,,,36.82468032836914,27.63606834411621
2003-08-22,66.2202377319336,20.417200088500977,,,,,9.888280868530273,,,107.72000122070312,,,,36.17522048950195,27.466732025146484
2003-08-25,66.32646179199219,20.33456039428711,,,,,9.81124496459961,,,107.23999786376953,,,,36.14161682128906,27.525999069213867
2003-08-26,66.44593048095703,20.228559494018555,,,,,9.691327095031738,,,107.44999694824219,,,,36.279727935791016,27.5513973236084
2003-08-27,66.46580505371094,20.264480590820312,,,,,9.80397891998291,,,107.43000030517578,,,,36.634315490722656,27.771543502807617
2003-08-28,66.87730407714844,20.383066177368164,,,,,9.872294425964355,,,108.22000122070312,,,,36.87692642211914,28.0170841217041
2003-08-29,67.32870483398438,20.404624938964844,,,,,9.943513870239258,,,108.18000030517578,,,,37.029972076416016,28.271095275878906
2003-09-02,68.23137664794922,20.71365737915039,,,,,10.091047286987305,,,107.16000366210938,,,,37.88469314575195,28.677509307861328
2003-09-03,68.60301208496094,20.984947204589844,,,,,10.170989036560059,,,107.47000122070312,,,,38.04520034790039,28.660572052001953
2003-09-04,68.63624572753906,20.959793090820312,,,,,10.207327842712402,,,107.83999633789062,,,,38.20195007324219,28.92304229736328
2003-09-05,68.25128173828125,21.001115798950195,,,,,10.197882652282715,,,108.66000366210938,,,,37.95935821533203,28.736774444580078
2003-09-08,68.81543731689453,21.094547271728516,,,,,10.391197204589844,,,108.26000213623047,,,,38.48562240600586,29.21092987060547
2003-09-09,68.36409759521484,21.135862350463867,,,,,10.210959434509277,,,108.5999984741211,,,,38.20195007324219,28.8637752532959
